Comment,Designator,Footprint,LCSC,Quantity
10k,RN4,R_Array_Convex_4x0603,,1
CH552G,J17,SM07B-SRSS-TB,,1
CH552G,J11,SM07B-SRSS-TB,,1
CH552G,J14,SM07B-SRSS-TB,,1
CH552G,J22,SM07B-SRSS-TB,,1
CH552G,J12,SM07B-SRSS-TB,,1
CH552G,J13,SM07B-SRSS-TB,,1
CH552G,J15,SM07B-SRSS-TB,,1
CH552G,J16,SM07B-SRSS-TB,,1
CD74HC4067M,U8,SOIC-24W_7.5x15.4mm_P1.27mm,,1
74HC138,U6,SOIC-16_3.9x9.9mm_P1.27mm,,1
74HC138,U7,SOIC-16_3.9x9.9mm_P1.27mm,,1
CH552G,J21,SM07B-SRSS-TB,,1
CH552G,J20,SM07B-SRSS-TB,,1
CH552G,J19,SM07B-SRSS-TB,,1
CH552G,J18,SM07B-SRSS-TB,,1
CH552G,J10,SM07B-SRSS-TB,,1
CH552G,J6,SM07B-SRSS-TB,,1
CD74HC4067M,U9,SOIC-24W_7.5x15.4mm_P1.27mm,,1
10k,RN5,R_Array_Convex_4x0603,,1
10k,RN3,R_Array_Convex_4x0603,,1
D_Small,D13,D_1206_3216Metric,,1
D_Small,D12,D_1206_3216Metric,,1
D_Small,D11,D_1206_3216Metric,,1
D_Small,D10,D_1206_3216Metric,,1
D_Small,D9,D_1206_3216Metric,,1
D_Small,D8,D_1206_3216Metric,,1
D_Small,D7,D_1206_3216Metric,,1
D_Small,D6,D_1206_3216Metric,,1
D_Small,D5,D_1206_3216Metric,,1
D_Small,D4,D_1206_3216Metric,,1
D_Small,D3,D_1206_3216Metric,,1
D_Small,D2,D_1206_3216Metric,,1
100nF,C45,C_0603_1608Metric,,1
100nF,C44,C_0603_1608Metric,,1
100nF,C43,C_0603_1608Metric,,1
100nF,C42,C_0603_1608Metric,,1
